age,bodyssa,bodysss,clinssa,clinsss,disssa,dissss,gndssa,gndsss,headssa,headsss,height,kd,legssa,legsss,pas,reach,rev,ssa,sss,sub,tda,tds,tsa,tss,winner
-2.232876712,5,4,0,0,-4,3,15,10,7,10,0,0,-1,-1,12,-4,12,11,13,-1,9,6,158,128,1
-6.849315068,15,14,11,9,-11,-2,52,40,31,30,1,0,6,3,5,4,5,52,47,0,4,4,78,72,0
1.509589041,-8,0,33,25,5,-8,49,37,91,50,-3,1,4,4,3,0,3,87,54,0,32,11,193,144,1
-2.2,28,22,9,9,53,45,2,1,19,19,3,0,17,14,2,6,2,64,55,0,7,3,79,70,1
2.764383562,-2,-3,-3,-3,21,8,12,10,20,8,2,1,12,10,0,4,0,30,15,0,-3,0,30,15,1
-2.975342466,2,2,2,2,44,16,17,9,56,22,0,3,5,3,0,2,0,63,27,0,1,1,63,25,0
0.961643836,8,6,8,11,20,7,19,13,44,27,1,1,-5,-2,0,0,0,47,31,-1,-2,1,53,37,0
1.134246575,-12,-5,2,2,62,52,0,0,108,85,0,0,-32,-26,0,2,0,64,54,0,0,0,64,54,1
3.315068493,8,6,-3,-2,74,20,0,0,64,12,2,0,-1,0,0,0,0,71,18,0,-5,-1,71,18,1
-3.145205479,-2,-1,0,0,-24,-6,-2,-1,-22,-4,1,0,-2,-2,3,-1,3,-26,-7,3,4,0,-23,-3,1
-0.01369863,13,0,10,4,52,4,5,4,40,1,1,-1,14,11,3,4,3,67,12,1,5,1,70,15,1
-0.42739726,-5,-3,-1,-1,-37,1,2,2,-32,4,-1,1,1,1,0,-1,0,-36,2,0,-1,0,-36,2,0
-9.523287671,5,5,11,4,55,20,14,10,70,24,2,0,5,5,5,4,5,80,34,0,15,6,107,48,1
-6.345205479,-3,0,-3,1,2,20,-8,-3,10,33,0,0,-16,-15,-1,-2,-1,-9,18,0,-7,-1,-7,22,1
-3.323287671,2,0,1,0,-1,1,2,1,4,6,2,1,-4,-4,0,1,0,2,2,0,0,0,2,2,0
-2.731506849,6,2,0,0,20,14,34,25,35,23,-1,0,13,14,0,-4,0,54,39,0,10,5,79,61,1
6.326027397,7,6,14,9,2,1,82,53,89,57,0,0,2,0,3,2,3,98,63,0,6,4,196,152,1
-1.369863014,0,0,0,2,11,4,0,0,3,1,2,1,8,5,0,2,0,11,6,0,1,0,17,11,1
6.657534247,-25,-6,8,16,-122,11,2,3,-97,24,-4,0,10,12,1,-3,1,-112,30,0,0,1,-123,21,0
-3.243835616,-3,-4,1,1,-2,-1,27,18,23,16,-7,0,6,6,13,-7,13,26,18,1,7,8,73,57,1
4.369863014,0,0,-1,-1,3,-1,0,1,2,-1,0,1,0,0,-1,4,-1,2,-1,0,-1,-1,0,-3,0
-1.032876712,-7,-8,-3,-3,-2,-4,-9,-9,3,2,0,0,-10,-10,7,0,7,-14,-16,6,1,2,-6,-8,1
-3.356164384,8,5,-3,-3,-6,9,10,5,-11,2,6,0,4,4,-1,5,-1,1,11,0,2,-1,5,16,1
8.567123288,-5,-8,0,1,-5,5,-11,-7,-20,-1,2,0,9,8,-2,-1,-2,-16,-1,2,-6,-3,-31,-14,0
3.41369863,-7,-8,-2,-2,-8,-6,13,14,12,16,0,0,-2,-2,4,-1,4,3,6,1,2,2,13,17,1
2.838356164,11,5,1,1,11,6,-15,-17,-17,-18,-1,0,3,3,3,-1,3,-3,-10,0,9,5,-124,-129,0
-0.032876712,9,3,0,0,-24,-11,5,1,-31,-8,-4,1,3,-5,0,-4,0,-19,-10,0,0,0,-54,-34,1
6.063013699,-1,-1,1,1,0,4,-17,-15,-11,-6,1,0,-4,-3,6,0,6,-16,-10,1,7,6,-116,-102,1
-2.967123288,33,23,5,1,37,17,27,22,22,9,-5,0,14,8,4,-4,4,69,40,0,-1,1,86,55,0
-1.684931507,-9,-5,-6,-3,-52,-11,3,3,-43,-7,-2,0,-3,1,3,-2,3,-55,-11,0,5,0,-80,-32,0
-0.528767123,-15,-9,-8,-6,-77,-20,39,25,-4,28,-3,0,-27,-20,1,-2,1,-46,-1,0,1,1,-46,0,1
4.490410959,-8,-3,-5,-6,-12,12,-5,-5,-4,11,-2,0,-10,-7,1,-4,1,-22,1,0,2,2,-30,-10,0
-0.421917808,12,7,-13,-11,-21,18,-1,-5,-49,-7,-3,0,2,2,0,-1,0,-35,2,0,1,1,-23,14,1
4.736986301,29,25,-2,-2,-52,25,2,3,-88,-4,-3,0,7,5,-2,-2,-2,-52,26,1,-11,-6,-40,43,1
-11.04383562,7,4,0,-2,53,34,21,14,66,41,-1,1,1,1,-1,1,-1,74,46,0,-3,-1,72,44,0
-4.273972603,-1,-1,0,0,0,-4,15,10,16,6,5,0,0,1,2,4,2,15,6,0,2,2,24,14,1
-4.145205479,-2,-1,1,2,40,7,20,18,58,26,-3,0,5,2,3,-3,3,61,27,-1,1,2,127,83,1
-4.983561644,4,2,4,3,36,16,-3,0,15,7,1,0,18,10,-4,1,-4,37,19,3,-5,-5,120,100,1
2.191780822,-5,-3,-3,-2,-3,-3,1,0,2,0,-1,2,-2,-2,1,1,1,-5,-5,0,1,1,-22,-22,0
2.071232877,46,36,36,34,-1,10,13,10,-13,3,0,0,15,15,0,0,0,48,54,0,4,0,70,74,1
-5.060273973,-2,-2,-12,-14,7,3,1,1,-8,-13,-1,0,6,5,-1,2,-1,-4,-10,1,-1,0,-24,-26,1
